Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Previous Season,PS_PER,PS_TRB%,PS_AST%,PS_BPM,PS_VORP,PS_USG%,PS_WS,PS_WS/48,Best Season,BS_PER,BS_TRB%,BS_AST%,BS_BPM,BS_VORP,BS_USG%,BS_WS,BS_WS/48
56,Chris Bosh,PF,26,MIA,77,2795,19.4,0.569,0.024,0.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,,6.1,4.3,10.3,0.177,,1.4,-0.2,1.3,2.3,2009-10,25.0,17.7,11.5,3.6,3.6,28.7,9.6,0.182,2009-10,25.0,17.7,11.5,3.6,3.6,28.7,9.6,0.182
57,Earl Boykins,PG,34,MIL,57,862,17.6,0.526,0.202,0.233,2.0,5.5,3.7,30.9,2.4,0.3,11.8,23.9,,1.1,1.1,2.3,0.125,,2.1,0.4,2.4,1.0,2009-10,12.9,3.9,25.3,-2.4,-0.1,20.7,1.0,0.042,2006-07,16.2,4.0,22.7,0.4,1.3,21.6,4.5,0.105
58,Craig Brackins,PF,23,PHI,3,33,0.1,0.25,0.313,0.0,7.0,7.0,7.0,4.6,1.6,0.0,0.0,22.3,,-0.1,0.0,-0.1,-0.154,,-8.4,-4.1,-12.5,-0.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,Avery Bradley,PG,20,BOS,31,162,2.2,0.36,0.075,0.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,,-0.8,0.3,-0.5,-0.139,,-10.8,-0.3,-11.1,-0.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,Elton Brand,PF,31,PHI,81,2809,18.5,0.553,0.001,0.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4,19.7,,5.1,4.4,9.4,0.161,,0.7,0.6,1.3,2.4,2009-10,15.7,11.8,7.9,-1.8,0.1,21.7,3.5,0.073,2005-06,26.5,14.8,13.1,6.7,6.8,27.7,14.8,0.229
61,Corey Brewer,SF-SG,24,TOT,69,1510,11.0,0.482,0.23,0.393,4.2,8.9,6.5,9.1,3.3,0.8,13.2,18.8,,-0.1,1.3,1.1,0.036,,-3.5,1.2,-2.3,-0.1,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02
61,Corey Brewer,SF,24,MIN,56,1362,10.3,0.471,0.227,0.391,3.6,9.0,6.2,8.6,3.3,0.8,13.1,18.4,,-0.4,1.0,0.6,0.023,,-3.8,1.0,-2.8,-0.3,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02
61,Corey Brewer,SG,24,DAL,13,148,17.6,0.573,0.255,0.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,,0.3,0.3,0.5,0.163,,-0.8,2.6,1.8,0.1,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02,2009-10,12.1,6.3,12.5,-2.2,-0.1,21.5,1.0,0.02
62,Ronnie Brewer,SG,25,CHI,81,1781,13.8,0.518,0.063,0.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,,1.7,3.8,5.4,0.147,,-1.3,3.7,2.4,2.0,2009-10,12.5,6.4,12.7,1.1,1.4,13.9,3.7,0.103,2008-09,16.1,6.9,10.9,1.5,2.3,18.8,6.8,0.126
63,Jon Brockman,C,23,MIL,63,677,9.6,0.567,0.0,0.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10.0,,0.8,1.0,1.9,0.132,,-4.1,0.2,-3.9,-0.3,2009-10,12.4,18.7,4.8,-3.0,-0.2,10.4,1.7,0.125,2009-10,12.4,18.7,4.8,-3.0,-0.2,10.4,1.7,0.125
